Song Title,Movie/Album,Composer,Language,Lyrics
Oru Mandasmitham,Roja,A.R. Rahman,Tamil (English Script),"Oru mandasmitham konchi viriyunnuvo
Puthu manjin mazha enne pothiyunnuvo
Nencham shringaara padamaadi unarunnuvo
Swayam aavesham madamthuuki vazhiyunnuvo

Oru mandasmitham konchi viriyunnuvo
Ninte thinkal mukham kannil theliyunnuvo
Nencham shringaara padamaadi unarunnuvo
Swayam aavesham madamthuuki vazhiyunnuvo

Thirayaay nee maaru karayoram
Kalamozhikal neeyeku nin gaanam paadaan . . . .

Oru mandasmitham konchi viriyunnuvo
Puthu manjin mazha enne pothiyunnuvo

En mandaaravaadiyil ini nee puukkaalamalle
En sangeetha velayil ini nin bhuupaalamalle
Ee hridaya layathaala melayil anuraagapaarayaanam
Ida nenchil puukkum kavi bhaavana ithu thaarunyamaam manchima

oru mandasmitham konchi viriyunnuvo
puthu manjin mazha enne pothiyunnuvo
nencham shringaara padamaadi unarunnuvo
swayam aavesham madamthuuki vazhiyunnuvo
oru mandasmitham konchi viriyunnuvo
puthu manjin mazha enne pothiyunnuvo

Nee vilikkunna perilen uyirppuu mizhimodi vidarum
Nee nadakkunna paathayil mayil peeli malar pole pozhiyum
Iru kaigal punaraaththa meniyil nin mizhil panthaadiyo
Malaramban thedunna pennival ini maarrodananjeedanam

Oru mandasmitham konchi viriyunnuvo
Ninte thinkal mukham kannil theliyunnuvo
Nencham shringaara padamaadi unarunnuvo
Swayam aavesham madamthuuki vazhiyunnuvo
Thirayaay nee maaru karayoram
Kalamozhikal neeyeku nin gaanam paadaan . . . .
Oru mandasmitham Konchi viriyunnuvo
Puthu manjin mazha Enne pothiyunnuvo
Oru mandasmitham Konchi viriyunnuvo
Puthu manjin mazha Enne pothiyunnuvo"
Ithuthan Kathal Enbadha,Pudhiya Mugam,A.R. Rahman,Tamil (English Script),"Netru illatha matram enathu
katru en kaathil etho sonathu
ithu thaan kadhal enbadha!
ilamai pongivitatha!
idhayam sindhivitatha
sol maname...

Kadavul illai endren...
thayai kannum varai
kanavu illai endren
aasai thondrum varai
kadhal poi endru sonnen
uNNai kannum varai.

kavithai variyin suvai
artham puriyum varai
gangai neerin suvai
kadalil serrum varai

kadhal suvai ondru thaane
kaatru veesum varai!!

Netru illatha matram enathu
katru en kaathil etho sonathu
ithu thaan kadhal enbadha!
ilamai pongivitatha!
idhayam sindhivitatha
sol maname...

Netru illatha matram enathu
katru en kaathil etho sonathu

Hey hey...
Hey hey...
Hey hey...
Hey hey...

Vaanam illamale boomi undagalaam
varthai ilaamale bashai undagalaam
kadhal ilamal pOnal vazhkai undaguma?
vaasam illamale vanna poo pookalam
vasal ilamale kaatru vandhadalam
nesam ilaatha vazhvil paasam undaguma?

Netru illatha matram enathu
katru en kaathil etho sonathu
ithu thaan kadhal enbadha!
ilamai pongivitatha!
idhayam sindhivitatha
sol maname... (2)"
Netru Illadha Matram,Pudhiya Mugam,A.R. Rahman,Tamil (English Script),"Neenru illat mallchum annetu
Kajoru en qatil eto sonnatu
Idhudhaan kaadhal enpata ilamai bonki vittata
Idhayam scinti vittata sol maname

Neenru illat mallchum annetu
Kajoru en qatil eto sonnatu
Idhudhaan kaadhal enpata ilamai bonki vittata
Idhayam scinti vittata sol maname

Kataul illai enheen taiai kaanum varai
Kanavu illai enheen aasai donasum varai

Kaadhal foi endu sonnen unnai kaanum varai
Kavidhai variin suwai arttom puri varai

Ganga neerin suwai katalil serum varai
Kaadhal suwai onduthane kajoru vitum varai

Neenru illat mallchum annetu
Kajoru en qatil eto sonnatu
Idhudhaan kaadhal enpata ilamai bonki vittata
Idhayam scinti vittata sol maname
Neenru illat mallchum annetu
Kajoru en qatil eto sonnatu

Vaanam illamale bhoomi undagalam
Varts illamale baashai undagalam

Kaadhal illamal bonal vatakky undakuma
Vasam illamale vanna poo pukalam

Vasam illamale kajoru vandhatalam
Nesam illat valwil pasam undakuma

Neenru illat mallchum annetu
Kajoru en qatil eto sonnatu
Idhudhaan kaadhal enpata ilamai bonki vittata
Idhayam scinti vittata sol maname
Neenru illat mallchum annetu
Kajoru en qatil eto sonnatu
Idhudhaan kaadhal enpata ilamai bonki vittata
Idhayam scinti vittata sol maname"
Netru Illatha Maatram,Pudhiya Mugam,A.R. Rahman,Tamil (English Script),"Neenru illat mallchum annetu
Kajoru en qatil eto sonnatu
Idhudhaan kaadhal enpata ilamai bonki vittata
Idhayam scinti vittata sol maname

Neenru illat mallchum annetu
Kajoru en qatil eto sonnatu
Idhudhaan kaadhal enpata ilamai bonki vittata
Idhayam scinti vittata sol maname

Kataul illai enheen taiai kaanum varai
Kanavu illai enheen aasai donasum varai

Kaadhal foi endu sonnen unnai kaanum varai
Kavidhai variin suwai arttom puri varai

Ganga neerin suwai katalil serum varai
Kaadhal suwai onduthane kajoru vitum varai

Neenru illat mallchum annetu
Kajoru en qatil eto sonnatu
Idhudhaan kaadhal enpata ilamai bonki vittata
Idhayam scinti vittata sol maname
Neenru illat mallchum annetu
Kajoru en qatil eto sonnatu

Vaanam illamale bhoomi undagalam
Varts illamale baashai undagalam

Kaadhal illamal bonal vatakky undakuma
Vasam illamale vanna poo pukalam

Vasam illamale kajoru vandhatalam
Nesam illat valwil pasam undakuma

Neenru illat mallchum annetu
Kajoru en qatil eto sonnatu
Idhudhaan kaadhal enpata ilamai bonki vittata
Idhayam scinti vittata sol maname
Neenru illat mallchum annetu
Kajoru en qatil eto sonnatu
Idhudhaan kaadhal enpata ilamai bonki vittata
Idhayam scinti vittata sol maname"
Paarkadhe Paarkadhe,Gentleman,A.R. Rahman,Tamil (English Script),"Paakathey Paakathey Panjangatha Paakathey
Thallathey Thallathey Thaavaniya Thallathey
Killathey Killathey. Kilimanasa Killathey.
Kollathey Kollathey Teeneja Kollathey.
Vaazhkai Vaazhathaane.
Vaazhathaan Vanthaane.

Paakathey Paakathey Panjangatha Paakathey
Thallathey Thallathey Thaavaniya Thallathey
Killathey Killathey. Killathey Killathey.
Kilimanasa Killathey. Kilimanasa Killathey.
Kollathey Kollathey Teeneja Kollathey.
Vaazhkai Vaazhathaane.
Vaazhathaan Vanthaane.

Paruva Ponnukitta Bhagavatham Paesathey
Paesathey Paesathey Periya Vaarthai Paesathey
Saivar Mayil'lu Vantha Sakthiyu'nu Thallathey
Kollathey Kollathey Konji Konji Kollathey
Pookum Poovellam Poojaikunu Ennathey
Ponnukum Poo Pidikum Maranthu Vidathey
Thirumanam Kaetkiraen Thiruneera Kaetkiraen
Thaethiyai Šøllividu Manamae Manamae

Paakathey Paakathey Panjangatha Paakathey
Thallathey Thallathey Thaavaniya Thallathey
Killathey Killathey. Kilimanasa Killathey.
Køllathey Køllathey Teeneja Køllathey.
Vaazhkai Vaazhathaane.
Vaazhathaan Vanthaane.

Panathai Thøøkathukae Padachunu Ènnathey
Pødathey Pødathey Puthiya Šattam Pødathey
Kashmir Irukaiyilae Kaasiyaithaan Ènnathey
Aadathey Aadathey Aathumeeri Aadathey
Kanni Illan Pøønguyil Kadarkaraiyil Varugaiyil
Šendali Theechenu Šøthi Vidathey
Paravai Aagamal Pattu Puzhuvaai Pøgathey
Ippøzhuthu Vaazhthu Vidu Indrae Indrae.

Paakathey Paakathey Panjangatha Paakathey
Paakathey Paakathey Panjangatha Paakathey
Thallathey Thallathey Thaavaniya Thallathey
Thallathey Thallathey Thaavaniya Thallathey
Killathey Killathey. Killathey Killathey.
Kilimanasa Killathey. Kilimanasa Killathey.
Køllathey Køllathey Teeneja Køllathey.
Vaazhkai Vaazhathaane.
Vaazhathaan Vanthaane.

Paakathey Paakathey Panjangatha Paakathey
Thallathey Thallathey Thaavaniya Thallathey
Killathey Killathey. Kilimanasa Killathey.
Køllathey Køllathey Teeneja Køllathey.
Vaazhkai Vaazhathaane.
Vaazhathaan Vanthaane"
En Veetu Thotathil,Gentleman,A.R. Rahman,Tamil (English Script),"Female: {En veettu thottathil poovellam kettuppaar
En veettu jannal kambi ellaamae kettuppaar
En veettu thennangeetrai ippoadhae kettuppaar
En nenjai sollumae} (2)

Male: Vaai paattu paadum pennae mounangal koodaadhu
Vaai poottu satham ellaam pennukku aagaadhu
Female: Vandellaam satham pottaal poonjolai thaangaadhu
Mottukkal satham potaal vandukkae ketkaadhu
Male: Aadikku pinnalae kaveri thaangaadhu
Female: Alaana pinnaalae allippoo moodaadhu
Male: Aasai thudikkindradhoo

Male: Un veettu thottathil poovellam kettuppaar
Un veettu jannal kambi ellaamae kettuppaar
Un veettu thennangeetrai ovvondrai kettuppaar
En peyar sollumae

Female: Sollukkum theriyaamal sollathaan vandhenae
Sollukkul artham pola sollaamal nindraenae
Male: Sollukkum arthathukkum dhoorangal kidaiyaadhu
Sollaadha kaadhal ellaam sorgathil seraadhu
Female: Ennikkai theerndhaalum muthangal theeraadhu
Male: Ennikkai paarthaalae muthangal aagaadhu
Female: Mmm... anubhavamo

Female: En veettu thottathil poovellam kettuppaar
En veettu jannal kambi ellaamae kettuppaar
En veettu thennangeetrai ippoadhae kettuppaar
En nenjai sollumae

Male: Un veettu thottathil poovellam kettuppaar
Un veettu jannal kambi ellaamae kettuppaar
Un veettu thennangeetrai ovvondrai kettuppaar
En peyar sollumae"
En Veetu Thottathil,Gentleman,A.R. Rahman,Tamil (English Script),"Female: {En veettu thottathil poovellam kettuppaar
En veettu jannal kambi ellaamae kettuppaar
En veettu thennangeetrai ippoadhae kettuppaar
En nenjai sollumae} (2)

Male: Vaai paattu paadum pennae mounangal koodaadhu
Vaai poottu satham ellaam pennukku aagaadhu
Female: Vandellaam satham pottaal poonjolai thaangaadhu
Mottukkal satham potaal vandukkae ketkaadhu
Male: Aadikku pinnalae kaveri thaangaadhu
Female: Alaana pinnaalae allippoo moodaadhu
Male: Aasai thudikkindradhoo

Male: Un veettu thottathil poovellam kettuppaar
Un veettu jannal kambi ellaamae kettuppaar
Un veettu thennangeetrai ovvondrai kettuppaar
En peyar sollumae

Female: Sollukkum theriyaamal sollathaan vandhenae
Sollukkul artham pola sollaamal nindraenae
Male: Sollukkum arthathukkum dhoorangal kidaiyaadhu
Sollaadha kaadhal ellaam sorgathil seraadhu
Female: Ennikkai theerndhaalum muthangal theeraadhu
Male: Ennikkai paarthaalae muthangal aagaadhu
Female: Mmm... anubhavamo

Female: En veettu thottathil poovellam kettuppaar
En veettu jannal kambi ellaamae kettuppaar
En veettu thennangeetrai ippoadhae kettuppaar
En nenjai sollumae

Male: Un veettu thottathil poovellam kettuppaar
Un veettu jannal kambi ellaamae kettuppaar
Un veettu thennangeetrai ovvondrai kettuppaar
En peyar sollumae"
En Veetu Thotathil (Instrumental),Gentleman,A.R. Rahman,Tamil (English Script),"Female: {En veettu thottathil poovellam kettuppaar
En veettu jannal kambi ellaamae kettuppaar
En veettu thennangeetrai ippoadhae kettuppaar
En nenjai sollumae} (2)

Male: Vaai paattu paadum pennae mounangal koodaadhu
Vaai poottu satham ellaam pennukku aagaadhu
Female: Vandellaam satham pottaal poonjolai thaangaadhu
Mottukkal satham potaal vandukkae ketkaadhu
Male: Aadikku pinnalae kaveri thaangaadhu
Female: Alaana pinnaalae allippoo moodaadhu
Male: Aasai thudikkindradhoo

Male: Un veettu thottathil poovellam kettuppaar
Un veettu jannal kambi ellaamae kettuppaar
Un veettu thennangeetrai ovvondrai kettuppaar
En peyar sollumae

Female: Sollukkum theriyaamal sollathaan vandhenae
Sollukkul artham pola sollaamal nindraenae
Male: Sollukkum arthathukkum dhoorangal kidaiyaadhu
Sollaadha kaadhal ellaam sorgathil seraadhu
Female: Ennikkai theerndhaalum muthangal theeraadhu
Male: Ennikkai paarthaalae muthangal aagaadhu
Female: Mmm... anubhavamo

Female: En veettu thottathil poovellam kettuppaar
En veettu jannal kambi ellaamae kettuppaar
En veettu thennangeetrai ippoadhae kettuppaar
En nenjai sollumae

Male: Un veettu thottathil poovellam kettuppaar
Un veettu jannal kambi ellaamae kettuppaar
Un veettu thennangeetrai ovvondrai kettuppaar
En peyar sollumae"
06 Maari Mazhai Peiyyadho,Uzhavan,A.R. Rahman,Tamil (English Script),"Male: Oh oh ya aa aa oh
Oh oh aa aa
Drrruuuuu a...
Enna pokku pora
Ennalae
Kamalai thanni
Erakku machaan
Yera pootti uzhuthu vachaan
Vithu nella eduthu vachaan
Vedhaikkum naalu kaathirunthaan
Maari mazhai peiyaatho
Makka pancham theeraatho

Oh oh oh.(3)

Male: Maari mazhai peiyaatho
Makka pancham theera
Saaral mazhai peiyaatho
Sananga pancham maara

Male: Mayilgal aadum
Kondaattam podum
Vaanang karukaliyae
Kuyilgal naalum
Themmaangu paadum
Solai than ingillaiyae

Male: Maari mazhai peiyaatho
Makka pancham theera
Saaral mazhai peiyaatho
Sananga pancham maara

Child: Sattiyila maakkarachu
Santhiyila kolamittu
Kolam azhiyum varai
Kodai mazhai peiyaatho
Maanathu raasaavae
Mazhai virumbum punniyarae
Sannal ozhuvaadho
Saaral mazhai peiyaatho

Male: Vadakkae mazhai peiyya
Varum kizhakkae vellam
Kolathaan karaiyilae
Ayirai thullum

Male: Kizhakkae mazhai peiyya
Kinarellaam puthu vellam
Pachai vayakkaadu
Nenjai killum

Male & Chorus: Nalla nellu kathir aruthu
Pulla neli neliyaa kattu katti
Ava kattu kondu pogaiyilae
Ninnu kannadippaan athai magan
Uzhavan sirikkanum
Ulagam sezhikkanum
Minnal ingu pada padakka

Male: Maari mazhai peiyaatho
Makka pancham theera
Saaral mazhai peiyaatho
Sananga pancham maara

Male: Mayilgal aadum
Kondaattam podum
Vaanang karukaliyae
Kuyilgal naalum
Themmaangu paadum
Solai than ingillaiyae

Male: Maari mazhai peiyaatho
Makka pancham theera
Saaral mazhai peiyaatho
Sananga pancham maara

Oh Oh oh...(3)

Female: Varappula ponnirukku
Ponnu kaiyil kili irukku
Kili irukkum kaiyya
Nee eppo pudippa

Male: Vethaiyellaam chediyaagi
Chediyellaam kaaiyaagi
Kaaya vithu
Un kaiyya pudippen

Male: Puthu thandatti potta pulla
Summa thala thalannu valantha pulla
Raa thavalaiyellaam kulavai ida
Naan thamarai un madi mela

Female: Kanavugal palikanum
Kazhani sezhikanum
Vaanam karu karukka

Male: Maari mazhai peiyaatho
Makka pancham theera
Saaral mazhai peiyaatho
Sananga pancham maara

Male: Mayilgal aadum
Kondaattam podum
Vaanang karukaliyae
Kuyilgal naalum
Themmaangu paadum
Solai than ingillaiyae

Male: Maari mazhai peiyaatho
Makka pancham theera
Saaral mazhai peiyaatho
Sananga pancham maara

Maari mazhai peiyaatho
Makka pancham theera
Saaral mazhai peiyaatho
Sananga pancham maara"
Senthamizh Naatu Thamizhachiye,Vandicholai Chinraasu,A.R. Rahman,Tamil (English Script),"Male: Senthamizh naattu thamizhachiyae
Sela udutha thayanguriyae
Senthamizh naattu thamizhachiyae
Sela udutha thayanguriyae

Male: Nesavu seiyum thirunaattil
Neechal udaiyil alayiriyae
Kanavan mattum kaanum azhagai
Kadaigal pootu kaaturiyae...

Male: Senthamizh naattu thamizhachiyae
Sela udutha thayanguriyae
Nesavu seiyum thirunaattil
Neechal udaiyil alayiriyae
Kanavan mattum kaanum azhagai
Kadaigal pootu kaaturiyae...

Male: Elantha kaatil poranthava thaanae
London model nadai ethukku
Kaanjeepurangal jolikindra pothu
Kaathu vaangum udai ethukku

Male: Udambu verkum ushna naatil
Urasi pesum style ethukku
Takkar kungumam manakum naatil
Sticker pootu unakku ethukku...

Male: Senthamizh naattu thamizhachiyae
Sela udutha thayanguriyae
Nesavu seiyum thirunaattil
Neechal udaiyil alayiriyae
Kanavan mattum kaanum azhagai
Kadaigal pootu kaaturiyae...

Male: Senthamizh naattu thamizhachiyae
Sela udutha thayanguriyae
Nesavu seiyum thirunaattil
Neechal udaiyil alayiriyae

Male: Karpu enbathu pirpokku illa
Kavasam endrae therinjikanum
Kaatril mithakum kaarkuzhal pinni
Kanaga pookal aninjikanum

Male: Pazhamai veru pazhasu veru
Verupaatta arinjikanum
Puratchi engae malarchi engae
Purunji neeyum nadandhukanum...

Male: Senthamizh naattu thamizhachiyae
Sela udutha thayanguriyae
Nesavu seiyum thirunaattil
Neechal udaiyil alayiriyae
Kanavan mattum kaanum azhagai
Kadaigal pootu kaaturiyae...

Male: Senthamizh naattu thamizhachiyae
Sela udutha thayanguriyae
Senthamizh naattu thamizhachiyae
Sela udutha thayanguriyae
Senthamizh naattu thamizhachiyae
Sela udutha thayanguriyae
Senthamizh naattu thamizhachiyae
Sela udutha thayanguriyae..."
Kulichaa Kuthaalam-Duet,Duet,A.R. Rahman,Tamil (English Script),"Kulicha Kuthalam Kumbitta Paramasivan
Kudicha Neermoru Pudicha Neethandi
Sokkupodi Meenatchi Sokkanathan Naanthandee
Sokkupodi Meenatchi Sokkanathan Naanthandee

Kulicha Kuthalam Kumbitta Paramasivan
Kudicha Neermoru Pudicha Neethandi
Sokkupodi Meenatchi Sokkanathan Naanthandee
Sokkupodi Meenatchi Sokkanathan Naanthandee

Kulathukku Thamarapoo Gummikku Kumariponnu
Veetukku Murunga Maram Veyilukku Veppa Maram
Kulathukku Thamarapoo Gummikku Kumariponnu
Veetukku Murunga Maram Veyilukku Veppa Maram
Koozhukku Moar Molaga Kulurukku Sudu Soru
Nadicha Engappan Anacha Neethandi

Sokkupodi Meenatchi Sokkanathan Naanthandee
Sokkupodi Meenatchi Sokkanathan Naanthandee
Kulicha Kuthalam Kumbitta Paramasivan
Kudicha Neermoru Pudicha Neethanyaa
Sokkupodi Meenatchi Sokkanathan Naanthandee
Šøkkupødi Meenatchi Šøkkanathan Naanthandee

Thamizhukku Then Mathura Dhavanikki Pavada
Mattuku Paruthi Vetha Manaivikku Malligapøø
Thamizhukku Then Mathura Dhavanikki Pavada
Mattuku Paruthi Vetha Manaivikku Malligapøø
Širipukku NŠP Šinthanaikku Valluvaru
Innathukku Innathunnu Èzhuthivacha Pøruthamithu

Šøkkupødi Meenatchi Šøkkanathan Naanthandee
Šøkkupødi Meenatchi Šøkkanathan Naanthandee
Kulicha Kuthalam Kumbitta Paramasivan
Kudicha Neermøru Pudicha Neethanyaa
Šøkkupødi Meenatchi Šøkkanathan Naanthandee
Šøkkupødi Meenatchi Šøkkanathan Naanthandee

(added by Arun Kumaran M - 9626055324)"
